id,title,description,url
101,Millennium Park,"Millennium Park is a public park located in the Loop community area of Chicago in Illinois, USA and originally intended to celebrate the millennium.",http://www.millenniumpark.org/
102,Topolobampo/Frontera Grill,"Rick Bayless' innovative, refined Mexican cuisine served in an elegant, art-filled space.",http://www.rickbayless.com/
103,Alinea,Chef Grant Achatz draws foodies with New American tasting menus featuring highly creative plates.,http://www.alinearestaurant.com/
104,Willis Tower,"Willis Tower is a 108-story, 1,451-foot skyscraper in Chicago, Illinois, United States. At the time of its completion in 1973, it was the tallest building in the world, surpassing the World Trade Center ...",http://www.the-skydeck.com/
105,Billy Goat Tavern,Our History · Billy Goat Curse · SNL · Wall of Fame · The Cheezborger · Locations · Menu · Souvenirs. logo. Contents of this DIV will be replaced by the timer.,http://www.billygoattavern.com/
106,Hot Doug's,Super popular counter with creative hot dogs made with unusual meats & gourmet toppings.,http://www.hotdougs.com/
107,Little Goat,"Upscale diner next to the Little Goat Bakery serving breakfast items, sandwiches, burgers & more.",http://www.littlegoatchicago.com/
108,Art Institute of Chicago,The Art Institute of Chicago is an encyclopedic art museum located in Chicago's Grant Park. It features a collection of Impressionist and Post-Impressionist art in its permanent collection.,http://www.artic.edu/
109,Longman & Eagle,Hipster spot with modern farm-to-table fare & nose-to-tail eats plus whiskey & craft cocktails.,http://www.longmanandeagle.com/
110,Navy Pier,"Navy Pier is a 3,300-foot long pier on the Chicago shoreline of Lake Michigan. It is located in the Streeterville neighborhood of the Near North Side community area. The pier was built in 1916 at a cost of $4.5 million.",http://www.navypier.com/
111,Sweet Maple Cafe,Country-style comfort food including all-day breakfasts & hearty lunches served in a homey space.,http://www.sweetmaplecafe.com/
112,Hoosier Mama Pie Company,A rotating menu of homemade sweet & savory pies on offer in a cute shop with a retro look.,http://www.hoosiermamapie.com/
113,Logan Hardware,Record store with hundreds of vinyl albums plus a museum of free-to-play vintage arcade games.,http://www.logan-hardware.com/
114,Hopleaf,Creative Belgian-focused eats go with loads of brews at this lively hang that's 21 & older only.,http://www.hopleaf.com/
115,Signature Lounge,"Upscale spot high atop the John Hancock Center with unreal views, American fare & a separate lounge.",http://www.signatureroom.com/
116,John Hancock Center,"The John Hancock Center, at 875 North Michigan Avenue in the Streeterville area of Chicago, Illinois, United States, is a 100-story, 1,127-foot tall skyscraper, constructed under the supervision of ...",http://www.jhochicago.com/
117,Ruxbin,"Cozy, offbeat BYOB spot with recycled furnishings & creative modern cuisine with global influences.",http://www.ruxbinchicago.com/
118,Hideout,Prohibition-era bar in a small space that hosts all kinds of live music & dancing on Saturday night.,http://www.hideoutchicago.com/
119,Lou Mitchell's,Iconic diner that's been serving hearty breakfasts & lunches since 1923 & is cash-only.,http://www.loumitchellsrestaurant.com/
120,Andy's Thai Kitchen,Small bring-your-own-beverage restaurant serving Thai favorites as well as more exotic options.,http://www.andysthaikitchen.com/
121,Crisp,"Counter-service Korean with fried chicken, burritos, vegetable bowls & kimchee (delivery available).",http://www.crisponline.com/
122,Green Mill,"The Green Mill Cocktail Lounge is an entertainment venue on Broadway in Uptown, Chicago. It is known for its jazz and poetry performances, along with its connections to Chicago mob history.",http://www.greenmilljazz.com/
123,Old Town Ale House,"Laid-back, cash-only dive bar near Second City with a storied past, old-school jukebox & funky art.",http://www.theoldtownalehouse.com/
124,Buddy Guy's Legends,"Buddy Guy's Legends is a blues club in Chicago, Illinois. It was opened in 1989 by blues legend Buddy Guy who still owns the club today and who still makes regular appearances, performing an annual residency each January.",http://www.buddyguys.com/
125,Adler Planetarium & Astronomy Museum,Interactive exhibits & high-tech sky shows entertain stargazers -- lakefront views are a bonus.,http://www.adlerplanetarium.org/
126,Metro,"Metro is a concert hall at 3730 N. Clark Street in Chicago, Illinois that plays host to a variety of local, regional and national emerging bands and musicians. The Metro was first opened in 1982.",http://www.metrochicago.com/
127,Clark Street Ale House,"Casual pub serving an extensive beer list, including microbrews, in a wood & exposed-brick space.",http://www.clarkstreetalehouse.com/
128,Shedd Aquarium,"Shedd Aquarium is an indoor public aquarium in Chicago, Illinois in the United States that opened on May 30, 1930.",http://www.sheddaquarium.org/
129,Field Museum of Natural History,"The Field Museum of Natural History, located in Chicago, Illinois, USA, is one of the largest natural history museums in the world.",http://www.fieldmuseum.org/
130,Humboldt Park,"Humboldt Park is one of 77 officially designated community areas, located on the West Side of Chicago, Illinois.",http://www.chicagoparkdistrict.com/
131,Lincoln Park Zoo,"Lincoln Park Zoo is a free 35-acre zoo located in Lincoln Park in Chicago, Illinois. The zoo was founded in 1868, making it one of the oldest zoos in the U.S. It is also one of a few free admission zoos in the United States.",http://www.lpzoo.org/
132,Willie Dixon's Blues Heaven,Willie Dixon's Blues Heaven Foundation · Home · The Mission · The Legacy · The Legend · The Landmark · Timeline · Events · Scholarship · Photos · Donations ...,http://www.bluesheaven.com/
133,Chicago Cultural Center,"Free art & shows in an 1897 Beaux-Arts building with vaulted lobby, mosaics & 2 stained-glass domes.",http://www.chicagoculturalcenter.org/
134,Graceland Cemetery,"Graceland Cemetery is a large Victorian era cemetery located in the north side community area of Uptown, in the city of Chicago, Illinois, USA. Established in 1860, its main entrance is at the intersection of Clark Street and Irving Park Road.",http://www.gracelandcemetery.org/
135,River North Galleries,"Chicago, Illinois. info@chicagoartdealers.org. Search Galleries for, Search Artists for, Search Specialties for.",http://www.chicagoartdealers.org/
136,Holy Name Cathedral,"Holy Name Cathedral, formally the Cathedral of the Holy Name, is the seat of the Roman Catholic Archdiocese of Chicago, one of the largest Roman Catholic dioceses in the United States. It is also the parish church of the Archbishop of Chicago.",http://www.holynamecathedral.org/
137,National Museum of Mexican Art,"Some 5,000 paintings, photographs, sculptures & more highlight this art musueum, with free entry.",http://www.nationalmuseumofmexicanart.org/
138,Merchandise Mart,"The Merchandise Mart is a commercial building located in the Near North Side of Chicago, Illinois, United States. When it opened in 1930 it was the largest building in the world, with 4,000,000 square feet of floor space.",http://www.mmart.com/
139,Museum of Science & Industry,"Sprawling, hands-on museum full of informative, child-friendly scientific & industrial exhibits.",http://www.msichicago.org/
140,Steppenwolf Theatre,"Putting on accomplished plays, this drama group has launched the careers of many acclaimed actors.",http://www.steppenwolf.org/
141,Garfield Park Conservatory,Garfield Park is a 184-acre site located in the East Garfield Park neighborhood on Chicago's West Side. It was designed as a pleasure ground by William LeBaron Jenney and is the oldest of the three great original Chicago West Side parks.,http://www.garfieldconservatory.org/
142,Chicago White Sox,"The Chicago White Sox are a Major League Baseball team located in the south side of Chicago, Illinois. The White Sox play in the American League's Central Division.",http://www.whitesox.com/
143,Chicago Theatre,"Legendary auditorium that hosts a variety of entertainment, including stage events, concerts, dance, comedy and special events. Events calendar, history ...",http://www.thechicagotheatre.com/
144,Moody Church,"The Moody Church is a historic Protestant church in the Lincoln Park neighborhood of Chicago, Illinois.",http://www.moodychurch.org/
145,Kuma’s Corner,"Busy, hopping pub known for its long list of creative burgers & its rock 'n' roll soundtrack.",http://www.kumascorner.com/
146,Chicago Cubs,"The Chicago Cubs are a professional baseball team located in Chicago, Illinois, USA. They are members of the Central Division of Major League Baseball's National League.",http://www.cubs.com/
147,Magnificent Mile,"The Magnificent Mile, sometimes referred to as The Mag Mile, is a prestigious section of Chicago's Michigan Avenue, running from the Chicago River to Oak Street in the Near North Side.",http://www.themagnificentmile.com/
148,Neo,"Dark, concrete haunt with bar & dance floor pulses with DJ-spun grooves for the alternative crowd.",http://www.neodanceclub.com
149,Rory Lake’s Karaoke Dreams,"... FDR Post 923 1824 W. Cortland Chicago, IL 60622 phone: (. Click here for the photo gallery of Dreams. For booking, email info at rorylakepresents dot com.",http://www.rorylakepresents.com/Karaoke_Dreams.html
150,Santa Fe Opera,"The Santa Fe Opera House is a musical theater production hall that brings a wide variety of lyrical opera styles and performers. As Santa Fe, New Mexico's ...",http://www.santafeopera.org
151,Georgia O'Keeffe Museum,"The Georgia O'Keeffe Museum is dedicated to the artistic legacy of Georgia O’Keeffe, her life, American Modernism, and public engagement.",http://www.okeeffemuseum.org/
152,Santa Fe Indian Market,"Every August since 1922, the largest Native American Indian arts market, in downtown Santa Fe, New Mexico featuring over 1000 artists exhibiting and selling ...",http://www.swaia.org/
153,Cafe Pasqual's,"Cafe Pasqual's, a restaurant in downtown Santa Fe, New Mexico, is dedicated to using fresh, seasonal, organic and naturally raised foods. Recipient of James ...",http://www.pasquals.com/
154,Coyote Café,Latest Menus. Check out today's latest innovations. Events. Click here for upcoming events at the Coyote Café and Cantina. Corporate Partners. Click here to ...,http://www.coyotecafe.com/
155,San Marcos Café,"Drop by San Marcos Feed Store and Cafe on the historic Turquoise Trail, just south of Santa Fe, NM now featuring farrier supplies.",http://www.sanmarcosfeed.com/
156,El Farol,Compact bar & tapas restaurant featuring live performances by musicians & flamenco dancers.,http://www.elfarolsf.com/
157,New Wave Rafting Co,"New Wave Rafting Company, since 1980, New Mexico's top river outfitter. Serving all of northern New Mexico and headquartered on the Rio Grande river ...",http://www.newwaverafting.com/
158,Ski Santa Fe,"Site offers skiing and snowboarding information including upcoming events, frequent skier benefits, lodging and dining facilities, a snow report, and mountain  ...",http://www.skisantafe.com/
159,Loretto Chapel,"The Loretto Chapel in Santa Fe, New Mexico, USA is a former Roman Catholic church that is now used as a museum and wedding chapel.",http://www.lorettochapel.com/
160,St Francis Cathedral,"The Cathedral Basilica of Saint Francis of Assisi, commonly known as Saint Francis Cathedral, is a Roman Catholic cathedral in downtown Santa Fe, New Mexico. It is the mother church of the Archdiocese of Santa Fe.",http://www.cbsfa.org/
161,Rancho de las Golondrinas,"El Rancho de las Golondrinas is a former ranch in the northern part of the U.S. state of New Mexico that has been recreated as a ""living museum"".",http://www.golondrinas.org/
162,Palace of the Governors,"The Palace of the Governors is an adobe structure located on Palace Avenue on the Plaza of Santa Fe, New Mexico between Palace Avenue and Washington Street.",http://www.palaceofthegovernors.org/
163,Museum of Fine Arts,"The museum houses a collection of art, history and culture in four museums and five monuments statewide.",http://www.museumofnewmexico.org/
164,Museum of International Folk Art,"The Museum of International Folk Art is a state-run institution in Santa Fe, New Mexico, USA. It is one of many cultural institutions operated by the New Mexico Department of Cultural Affairs.",http://www.internationalfolkart.org/
165,New Mexico Museum of Art,"The New Mexico Museum of Art, the oldest art museum in the state of New Mexico, is one of four state-run museums in Santa Fe. It is one of eight museums in the state operated by the New Mexico Department of Cultural Affairs.",http://www.nmartmuseum.org/
166,Morning Star Gallery,Welcome to Morning Star Gallery. The premier gallery for antique and modern Native American Art. Morning Star Gallery is located in a beautiful historic building ...,http://www.morningstargallery.com/
167,Santa Fe Southern Railway,"Take a ride on the world's most famous railroad -- part of the Atchison, Topeka & Santa Fe!",http://www.sfsr.com/
168,"A Well-Born Guide/Have PhD, Will Travel","by Almea Matanock, Stefanie Beninato A Well-Born Guide Have Ph.D., Will Travel P.O. Box 1601. Santa Fe, NM 87504-1601 505 988-8022",http://www.swguides.com/
169,Compound,Fine Southwestern dining by a James Beard Award-winning chef in an cozy adobe home setting.,http://www.compoundrestaurant.com/
170,High Desert Angler,Fly fishing specialty shop and offers fishing guide service.,http://www.highdesertangler.com/
171,SITE Santa Fe,"SITE Santa Fe is a non-profit contemporary arts organization based in Santa Fe, New Mexico. Since its founding, SITE Santa Fe has gained worldwide recognition through a series of biennial exhibitions that have featured numerous famous artists.",http://www.sitesantafe.org/
172,Shidoni Foundry,Shidoni - a greeting to a friend in Navajo - is an art gallery including 8 acres of sculpture gardens and bronze art foundry situated along the Rio Tesuque on a ...,http://www.shidoni.com/
173,Cowgirl,Down-home American comfort eats & live music draw crowds at this cowgirl-themed spot.,http://www.cowgirlsantafe.com/
174,Santacafé,"A fine dining icon of Santa Fe since 1983, Santacafé specializes in serving unique American cuisine with a southwestern flair. Hailed by notable locals, frequent ...",http://www.santacafe.com/
175,Second Street Brewery,"Bustling brewery serving beer samplers & comfort pub grub in a warm, contemporary space.",http://www.secondstreetbrewery.com/
176,Tesuque Village Market,"Funky cafe with a varied, eclectic menu centered on New Mexican fare, plus a general store & bakery.",http://www.tesuquevillagemarket.com/
177,Canyon Rd,"Information about Canyon Road, the center of Santa Fe's renowned art community.",http://www.canyonroadarts.com/
178,Ristra,Upscale French & New Mexican cuisine served in a Victorian house with a contemporary makeover.,http://www.ristrarestaurant.com/
179,Gerald Peters Gallery,Pueblo-style building housing major American painting & sculpture from the 19th century to present.,http://www.gpgallery.com/
180,Nambé Foundry Outlet,"Nambé makes museum-quality art a part of daily life, combining fine materials with hand craftsmanship and design from the world's most esteemed designers.",http://www.nambe.com/
181,Travel Bug,"An Independent locally owned travel specialty store in Santa Fe, New Mexico. Located due east of the plaza in the oldest part of Santa Fe. We carry a wide array ...",http://www.mapsofnewmexico.com/
182,Seret & Sons,"Specializing in antique architectural elements including carved corbels, doors, pillars and stone arches. Also have marble accessories.",http://www.seretandsons.com/
183,Nedra Matteucci Galleries,Dramatic adobe house & garden with a big collection of art centered on Western & Southwestern works.,http://www.matteucci.com/
184,Museum of Contemporary Native Arts,Museum & educational center dedicated to Native American contemporary art plus history & culture.,http://www.iaia.edu/museum
185,Santa Fe Chamber Music Festival,"Santa Fe Chamber Music Festival is music that moves you, played by artists who astound and dazzle you with their virtuosity and passion, playing chamber ...",http://www.sfcmf.org/
186,Jackalope,"Wheew, it's been a long hot summer over here at Jackalope! We've ... Tour the Jackalope Santa Fe location and see the various shops, activities, artists and ...",http://www.jackalope.com/
187,Santa Fe Baking Company,"Lively cafe serving New Mexican favorites, including breakfast burritos & regional entrees.",http://www.santafebakingcompanycafe.com/
188,Wheelwright Museum of the American Indian,"The Wheelwright Museum of the American Indian is a museum devoted to Native American arts. It is located in Santa Fe, New Mexico and was founded in 1937 by Mary Cabot Wheelwright, who came from Boston, ...",http://www.wheelwright.org/
189,Santa Fe Clay,"Santa Fe Clay occupies a 10,000 square-foot warehouse in the historic Railyard District in downtown Santa Fe. Our facility includes a complete retail supply ...",http://www.santafeclay.com/
190,Ten Thousand Waves,"Ten Thousand Waves is inspired by the great Japanese mountain hot spring resorts. Ten minutes from downtown Santa Fe, but only minutes from the National  ...",http://www.tenthousandwaves.com/
191,Rodeo de Santa Fe,"Usually held in late June, this Southwest institution hosts bull riding, wrangling & other sports.",http://www.rodeodesantafe.org/
192,Santa Fe Desert Chorale,"The Santa Fe Desert Chorale welcomes you to join us for concerts that transcend time through a symphony of voices that surround and envelope the audience, ...",http://www.desertchorale.org/
193,Harry's Roadhouse,"Whimsical, colorful cafe serving regional eats & weekend brunch with optional patio seating.",http://www.harrysroadhousesantafe.com/
194,Kowboyz,"Kowboyz from Hollywood has Santa Fe New Mexico's largest Used/New Cowboy Boots/Hats and Western Wear Selection. Shop for and buy vintage boots, hats, ...",http://www.kowboyz.com/
195,Nathalie,Nathalie is known for her great taste in all things beautiful and original when it comes to high end western wear and home furnishings.,http://www.nathaliesantafe.com/
196,Tea House,"The Teahouse on Canyon Road in Santa Fe is pleased to bring you exceptional teas from China, India, Japan, Sri Lanka, and Santa Fe, where we create our ...",http://www.teahousesantafe.com/
197,The Den,About. Coyote Café has earned an international reputation for bringing innovative Southwestern cuisine to the international stage since 1987. The Coyote Café ...,http://www.coyotecafe.com
198,Del Charro Saloon,"Rustic, Western-themed watering hole serving Tex Mex grub, margaritas & cocktails.",http://delcharro.com
199,Jambo Cafe,"Jambo Cafe is Santa Fe's newest, award winning, ethnic restaurant. Chef-owned, Jambo's recipes come from generations of home cooking. Try something very ...",http://www.jambocafe.net
200,Ballroom Dance Chicago,"Chicago's Premier Ballroom, Latin and Wedding Dance Studio.",http://www.ballroomdancechicago.com
