id,attraction_id,description,website
700,101,3,3
700,102,4,3
700,103,3,4
700,104,1,1
700,105,3,4
700,106,2,2
700,107,3,4
700,108,2,3
700,109,3,4
700,110,3,4
700,111,3,4
700,112,3,4
700,113,3,4
700,114,3,3
700,115,2,2
700,116,2,1
700,117,3,4
700,118,4,3
700,119,3,3
700,120,3,4
700,121,3,4
700,122,2,3
700,123,3,3
700,124,3,4
700,125,4,4
700,126,2,3
700,127,2,3
700,128,2,2
700,129,3,4
700,130,2,3
700,131,1,1
700,132,3,3
700,133,3,4
700,134,2,4
700,135,2,3
700,136,1,1
700,137,3,4
700,138,2,2
700,139,3,3
700,140,3,2
700,141,3,4
700,142,4,4
700,143,4,2
700,144,3,3
700,145,3,3
700,146,4,4
700,147,2,2
700,148,1,1
700,149,2,2
700,150,2,3
700,151,3,3
700,152,3,3
700,153,4,4
700,154,2,4
700,155,3,4
700,156,3,4
700,157,2,3
700,158,3,3
700,159,2,3
700,160,0,1
700,161,3,4
700,162,3,3
700,163,3,3
700,164,3,4
700,165,4,4
700,166,3,4
700,167,3,4
700,168,3,3
700,169,3,3
700,170,2,4
700,171,3,2
700,172,3,4
700,173,2,3
700,174,4,4
700,175,4,3
700,176,3,4
700,177,3,3
700,178,3,4
700,179,3,4
700,180,2,3
700,181,2,2
700,182,2,3
700,183,3,4
700,184,3,4
700,185,4,4
700,186,2,3
700,187,4,4
700,188,4,4
700,189,2,4
700,190,3,3
700,191,3,3
700,192,4,4
700,193,4,3
700,194,2,3
700,195,2,3
700,196,3,4
700,197,3,3
700,198,3,4
700,199,3,4
700,200,4,4
701,101,3,4
701,102,2,2
701,103,2,1
701,104,4,4
701,105,1,0
701,106,4,2
701,107,3,4
701,108,1,0
701,109,1,2
701,110,4,4
701,111,3,4
701,112,2,3
701,113,4,4
701,114,3,4
701,115,3,4
701,116,4,4
701,117,4,4
701,118,4,3
701,119,4,3
701,120,3,3
701,121,3,3
701,122,4,4
701,123,3,3
701,124,3,3
701,125,4,4
701,126,2,3
701,127,3,3
701,128,4,4
701,129,2,4
701,130,1,1
701,131,3,3
701,132,1,1
701,133,2,3
701,134,3,3
701,135,0,1
701,136,2,3
701,137,0,0
701,138,3,4
701,139,4,4
701,140,3,2
701,141,2,3
701,142,4,4
701,143,2,3
701,144,3,2
701,145,3,3
701,146,4,4
701,147,3,2
701,148,4,4
701,149,3,1
701,150,0,0
701,151,1,1
701,152,1,1
701,153,2,1
701,154,3,3
701,155,0,0
701,156,3,3
701,157,3,3
701,158,3,4
701,159,2,3
701,160,3,3
701,161,2,3
701,162,1,1
701,163,1,1
701,164,0,0
701,165,2,2
701,166,1,1
701,167,3,4
701,168,0,0
701,169,3,3
701,170,3,4
701,171,0,0
701,172,0,1
701,173,3,3
701,174,3,1
701,175,3,4
701,176,3,3
701,177,0,0
701,178,3,2
701,179,1,0
701,180,2,1
701,181,2,2
701,182,3,1
701,183,0,0
701,184,1,1
701,185,1,1
701,186,1,1
701,187,3,4
701,188,1,1
701,189,1,0
701,190,3,3
701,191,1,0
701,192,1,1
701,193,3,2
701,194,0,0
701,195,1,0
701,196,1,1
701,197,3,3
701,198,4,4
701,199,2,2
701,200,2,2
702,101,4,3
702,102,3,4
702,103,2,3
702,104,3,1
702,105,4,3
702,106,3,2
702,107,3,2
702,108,3,2
702,109,3,3
702,110,4,4
702,111,3,2
702,112,4,3
702,113,3,4
702,114,3,3
702,115,3,4
702,116,3,2
702,117,3,1
702,118,3,2
702,119,3,3
702,120,-1,-1
702,121,4,4
702,122,4,4
702,123,1,1
702,124,3,4
702,125,3,2
702,126,3,2
702,127,2,2
702,128,3,4
702,129,3,1
702,130,3,2
702,131,4,4
702,132,2,2
702,133,3,3
702,134,4,3
702,135,4,2
702,136,3,3
702,137,3,2
702,138,3,1
702,139,3,3
702,140,2,3
702,141,3,2
702,142,3,2
702,143,3,3
702,144,4,1
702,145,2,3
702,146,4,4
702,147,4,1
702,148,3,3
702,149,3,3
702,150,4,4
702,151,4,1
702,152,3,3
702,153,3,2
702,154,3,2
702,155,3,3
702,156,2,3
702,157,4,4
702,158,3,3
702,159,2,3
702,160,4,4
702,161,3,0
702,162,3,3
702,163,3,2
702,164,1,3
702,165,1,1
702,166,3,3
702,167,3,2
702,168,4,3
702,169,3,1
702,170,3,3
702,171,3,2
702,172,4,3
702,173,4,3
702,174,3,3
702,175,3,3
702,176,3,2
702,177,3,1
702,178,1,2
702,179,3,1
702,180,2,3
702,181,3,3
702,182,3,4
702,183,3,3
702,184,4,3
702,185,2,3
702,186,3,3
702,187,3,2
702,188,3,3
